MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57984.968,17.71,0.09,4.0066679408e-17,3.32124966017e-18,FLAMINGOS-2_H,FLAMINGOS-2,GeneralFilters
57984.968,19.1,0.11,8.02807517299e-17,8.13354320777e-18,Sinistro_r,Sinistro,GeneralFilters
57984.969,17.64,0.08,4.13582614979e-17,3.04738920164e-18,GROND_H,GROND,GeneralFilters
57984.969,17.73,0.09,7.04591007057e-17,5.84057046234e-18,GROND_J,GROND,GeneralFilters
57984.969,17.66,0.1,2.30892011091e-17,2.12659392543e-18,GROND_K,GROND,GeneralFilters
57984.969,20.19,0.11,5.79748574426e-17,5.87364963347e-18,GROND_g,GROND,GeneralFilters
57984.969,18.58,0.04,7.70094653665e-17,2.83713343698e-18,GROND_i,GROND,GeneralFilters
57984.969,19.13,0.17,8.13645857225e-17,1.27397234739e-17,GROND_r,GROND,GeneralFilters
57984.969,18.33,0.06,7.26854949265e-17,4.01674872805e-18,GROND_z,GROND,GeneralFilters
57984.971,17.57,0.01,4.59055733524e-17,4.2280593847e-19,FourStar_H,FourStar,GeneralFilters
57984.971,19.4,0.11,7.73549502341e-17,7.83711931573e-18,EFOSC2_V,EFOSC2,GeneralFilters
57984.975,17.77,0.03,9.30709098964e-17,2.57164417276e-18,DECam_Y,DECam,GeneralFilters
57984.975,18.61,0.15,8.26398392479e-17,1.14171152553e-17,Sinistro_i,Sinistro,GeneralFilters
57984.976,18.18,0.03,7.95024798034e-17,2.1967346095e-18,DECam_z,DECam,GeneralFilters
57984.976,18.38,0.03,9.48017243227e-17,2.6194683408e-18,DECam_i,DECam,GeneralFilters
57984.977,19.03,0.03,8.05824814489e-17,2.22657615656e-18,DECam_r,DECam,GeneralFilters
57984.978,20.21,0.05,5.37571927265e-17,2.47561011228e-18,DECam_g,DECam,GeneralFilters
57984.978,18.46,0.1,9.48832307123e-17,8.73906815159e-18,Sinistro_i,Sinistro,GeneralFilters
57984.979,17.67,0.03,2.33146948233e-17,6.44208798955e-19,VISTA_Ks,VIRCAM,GeneralFilters
57984.98,22.26,0.16,1.06533027879e-17,1.56992865279e-18,DECam_u,DECam,GeneralFilters
57984.98,17.52,0.01,1.04136220688e-16,9.59129998848e-19,FourStar_J1,FourStar,GeneralFilters
57984.982,18.19,0.2,8.53251514568e-17,1.57174731094e-17,Sinistro_z,Sinistro,GeneralFilters
57984.989,17.66,0.02,6.792131092e-17,1.25115673364e-18,VISTA_J,VIRCAM,GeneralFilters
57984.999,17.51,0.02,1.12756865196e-16,2.07705813158e-18,VISTA_Y,VIRCAM,GeneralFilters
57985,18.36,0.02,1.01299606672e-16,1.86600763864e-18,IMACS_i,IMACS,GeneralFilters
57985.002,18.46,0.1,9.48832307123e-17,8.73906815159e-18,Sinistro_i,Sinistro,GeneralFilters
57985.006,18.45,0.11,9.57611744367e-17,9.70192272898e-18,Sinistro_i,Sinistro,GeneralFilters
57985.009,18.93,0.02,7.93864653907e-17,1.46235267529e-18,IMACS_r,IMACS,GeneralFilters
57985.01,19.33,0.18,8.37551642828e-17,1.38854437164e-17,Sinistro_V,Sinistro,GeneralFilters
57985.016,19.53,0.12,6.86259091611e-17,7.58481547419e-18,EFOSC2_V,EFOSC2,GeneralFilters
57985.017,20.15,0.33,5.76837167522e-17,1.75324592438e-17,Sinistro_g,Sinistro,GeneralFilters
57985.019,17.76,0.02,6.15778912761e-17,1.13430663027e-18,FLAMINGOS-2_J,FLAMINGOS-2,GeneralFilters
57985.019,17.6,0.04,2.48325505028e-17,9.1486493279e-19,FLAMINGOS-2_Ks,FLAMINGOS-2,GeneralFilters
57985.054,19.59,0.2,6.49363854807e-17,1.1961723773e-17,EFOSC2_V,EFOSC2,GeneralFilters
57985.184,19.93,0.1,7.44091788177e-17,6.85333836032e-18,UVOT_B,UVOT,GeneralFilters
57985.231,18.44,0.09,9.34597517054e-17,7.7471648057e-18,GFC_i,GFC,GeneralFilters
57985.231,18.08,0.11,7.44044189646e-17,7.53818995783e-18,GFC_y,GFC,GeneralFilters
57985.231,18.31,0.07,7.56590019945e-17,4.87791592701e-18,GFC_z,GFC,GeneralFilters
57985.357,19.36,0.09,6.31846276426e-17,5.23756713025e-18,Sinistro_r,Sinistro,GeneralFilters
57985.364,18.53,0.13,8.89589122103e-17,1.06514437573e-17,Sinistro_i,Sinistro,GeneralFilters
57985.367,18.62,0.14,8.18821926476e-17,1.05582796792e-17,Sinistro_i,Sinistro,GeneralFilters
57985.384,19.34,0.08,6.3744783276e-17,4.69688901759e-18,Skymapper_r,Skymapper,GeneralFilters
57985.385,19.77,0.2,5.58485105004e-17,1.0287675404e-17,Sinistro_V,Sinistro,GeneralFilters
57985.391,18.7,0.18,7.60658046454e-17,1.26106546168e-17,Sinistro_i,Sinistro,GeneralFilters
57985.395,18.63,0.15,8.11314921931e-17,1.12087294171e-17,Sinistro_i,Sinistro,GeneralFilters
57985.397,19.37,0.09,6.2007560962e-17,5.13999647128e-18,Skymapper_r,Skymapper,GeneralFilters
57985.398,20.21,0.12,4.33309199563e-17,4.78911006372e-18,Skymapper_g,Skymapper,GeneralFilters
57985.699,17.57,0.04,4.49751677808e-17,1.65694634727e-18,SIRIUS_H,SIRIUS,GeneralFilters
57985.699,17.78,0.05,6.01939391377e-17,2.77203322699e-18,SIRIUS_J,SIRIUS,GeneralFilters
