#wls	flux	flux_err
4272.4000	2.3205e-16	1.6557e-17
4274.4000	2.3237e-16	1.6333e-17
4276.4000	2.3306e-16	1.6317e-17
4278.4000	2.3352e-16	1.5955e-17
4280.4000	2.3367e-16	1.5957e-17
4282.3000	2.3414e-16	1.6222e-17
4284.3000	2.3473e-16	1.7341e-17
4286.3000	2.3495e-16	1.7819e-17
4288.3000	2.3534e-16	1.7810e-17
4290.3000	2.3581e-16	1.8396e-17
4292.2000	2.3603e-16	1.8243e-17
4294.2000	2.3654e-16	1.8365e-17
4296.2000	2.3706e-16	1.8704e-17
4298.2000	2.3730e-16	1.9344e-17
4300.2000	2.3691e-16	1.9307e-17
4302.2000	2.3691e-16	1.8346e-17
4304.1000	2.3764e-16	1.6825e-17
4306.1000	2.3853e-16	1.6938e-17
4308.1000	2.3965e-16	1.6924e-17
4310.1000	2.4034e-16	1.6814e-17
4312.1000	2.4069e-16	1.6431e-17
4314.0000	2.4045e-16	1.6483e-17
4316.0000	2.3993e-16	1.5549e-17
4318.0000	2.3958e-16	1.4901e-17
4320.0000	2.3938e-16	1.4731e-17
4322.0000	2.3928e-16	1.6680e-17
4323.9000	2.3908e-16	1.7662e-17
4325.9000	2.3881e-16	1.7659e-17
4327.9000	2.3864e-16	1.7539e-17
4329.9000	2.3862e-16	1.7166e-17
4331.9000	2.3879e-16	1.7359e-17
4333.8000	2.3874e-16	1.6375e-17
4335.8000	2.3875e-16	1.5796e-17
4337.8000	2.3956e-16	1.5837e-17
4339.8000	2.4004e-16	1.5680e-17
4341.8000	2.3996e-16	1.6247e-17
4343.7000	2.3988e-16	1.6113e-17
4345.7000	2.4028e-16	1.5851e-17
4347.7000	2.4005e-16	1.4654e-17
4349.7000	2.3910e-16	1.4737e-17
4351.7000	2.3911e-16	1.4741e-17
4353.7000	2.4000e-16	1.4788e-17
4355.6000	2.4063e-16	1.4662e-17
4357.6000	2.4073e-16	1.4480e-17
4359.6000	2.4084e-16	1.4491e-17
4361.6000	2.4106e-16	1.4572e-17
4363.6000	2.4099e-16	1.4455e-17
4365.5000	2.4124e-16	1.4465e-17
4367.5000	2.4185e-16	1.4699e-17
4369.5000	2.4249e-16	1.5283e-17
4371.5000	2.4274e-16	1.3006e-17
4373.5000	2.4272e-16	1.1011e-17
4375.4000	2.4300e-16	1.1284e-17
4377.4000	2.4285e-16	1.1399e-17
4379.4000	2.4248e-16	1.1388e-17
4381.4000	2.4255e-16	1.1275e-17
4383.4000	2.4276e-16	1.1223e-17
4385.3000	2.4270e-16	1.2359e-17
4387.3000	2.4230e-16	1.3297e-17
4389.3000	2.4236e-16	1.2596e-17
4391.3000	2.4286e-16	1.2251e-17
4393.3000	2.4345e-16	1.2890e-17
4395.2000	2.4423e-16	1.2769e-17
4397.2000	2.4458e-16	1.2731e-17
4399.2000	2.4478e-16	1.2767e-17
4401.2000	2.4525e-16	1.2883e-17
4403.2000	2.4545e-16	1.2883e-17
4405.2000	2.4534e-16	1.2813e-17
4407.1000	2.4568e-16	1.2883e-17
4409.1000	2.4652e-16	1.2888e-17
4411.1000	2.4737e-16	1.2887e-17
4413.1000	2.4801e-16	1.2983e-17
4415.1000	2.4803e-16	1.2980e-17
4417.0000	2.4890e-16	1.2555e-17
4419.0000	2.4986e-16	1.1858e-17
4421.0000	2.4934e-16	1.2498e-17
4423.0000	2.4852e-16	1.2513e-17
4425.0000	2.4836e-16	1.3600e-17
4426.9000	2.4841e-16	1.3538e-17
4428.9000	2.4869e-16	1.4907e-17
4430.9000	2.4859e-16	1.5607e-17
4432.9000	2.4823e-16	1.5552e-17
4434.9000	2.4809e-16	1.4554e-17
4436.8000	2.4821e-16	1.3423e-17
4438.8000	2.4842e-16	1.3480e-17
4440.8000	2.4800e-16	1.3081e-17
4442.8000	2.4747e-16	1.2664e-17
4444.8000	2.4712e-16	1.2134e-17
4446.7000	2.4724e-16	1.2168e-17
4448.7000	2.4753e-16	1.1970e-17
4450.7000	2.4764e-16	1.1910e-17
4452.7000	2.4756e-16	1.1787e-17
4454.7000	2.4705e-16	1.1810e-17
4456.7000	2.4646e-16	1.1831e-17
4458.6000	2.4593e-16	1.1892e-17
4460.6000	2.4537e-16	1.1593e-17
4462.6000	2.4509e-16	1.1774e-17
4464.6000	2.4538e-16	1.2072e-17
4466.6000	2.4620e-16	1.2476e-17
4468.5000	2.4627e-16	1.2694e-17
4470.5000	2.4559e-16	1.2106e-17
4472.5000	2.4548e-16	1.2102e-17
4474.5000	2.4566e-16	1.0556e-17
4476.5000	2.4588e-16	1.0556e-17
4478.4000	2.4580e-16	8.6244e-18
4480.4000	2.4603e-16	6.7421e-18
4482.4000	2.4622e-16	6.9161e-18
4484.4000	2.4657e-16	6.9955e-18
4486.4000	2.4690e-16	6.9738e-18
4488.3000	2.4651e-16	7.1385e-18
4490.3000	2.4643e-16	7.1676e-18
4492.3000	2.4647e-16	9.1683e-18
4494.3000	2.4637e-16	1.0722e-17
4496.3000	2.4630e-16	1.0518e-17
4498.2000	2.4597e-16	1.1015e-17
4500.2000	2.4624e-16	1.1162e-17
4502.2000	2.4634e-16	1.1027e-17
4504.2000	2.4613e-16	1.1181e-17
4506.2000	2.4617e-16	1.1374e-17
4508.1000	2.4573e-16	1.1351e-17
4510.1000	2.4511e-16	1.1441e-17
4512.1000	2.4436e-16	1.1874e-17
4514.1000	2.4399e-16	1.2377e-17
4516.1000	2.4386e-16	1.2007e-17
4518.1000	2.4409e-16	1.1697e-17
4520.0000	2.4449e-16	1.1656e-17
4522.0000	2.4504e-16	1.1855e-17
4524.0000	2.4554e-16	1.1867e-17
4526.0000	2.4570e-16	1.1914e-17
4528.0000	2.4575e-16	1.2035e-17
4529.9000	2.4570e-16	1.2391e-17
4531.9000	2.4578e-16	1.2237e-17
4533.9000	2.4627e-16	1.2420e-17
4535.9000	2.4660e-16	1.3005e-17
4537.9000	2.4663e-16	1.3565e-17
4539.8000	2.4700e-16	1.3751e-17
4541.8000	2.4716e-16	1.2842e-17
4543.8000	2.4702e-16	1.1580e-17
4545.8000	2.4664e-16	1.2483e-17
4547.8000	2.4647e-16	1.2037e-17
4549.7000	2.4683e-16	1.2016e-17
4551.7000	2.4679e-16	1.2261e-17
4553.7000	2.4631e-16	1.2246e-17
4555.7000	2.4613e-16	1.2131e-17
4557.7000	2.4604e-16	1.2393e-17
4559.6000	2.4592e-16	1.3221e-17
4561.6000	2.4579e-16	1.3055e-17
4563.6000	2.4586e-16	1.3279e-17
4565.6000	2.4563e-16	1.3293e-17
4567.6000	2.4574e-16	1.3398e-17
4569.6000	2.4583e-16	1.4045e-17
4571.5000	2.4518e-16	1.4173e-17
4573.5000	2.4502e-16	1.4198e-17
4575.5000	2.4507e-16	1.4384e-17
4577.5000	2.4458e-16	1.4254e-17
4579.5000	2.4413e-16	1.3959e-17
4581.4000	2.4375e-16	1.3871e-17
4583.4000	2.4377e-16	1.4019e-17
4585.4000	2.4365e-16	1.3589e-17
4587.4000	2.4354e-16	1.3117e-17
4589.4000	2.4333e-16	1.3365e-17
4591.3000	2.4301e-16	1.3859e-17
4593.3000	2.4321e-16	1.3906e-17
4595.3000	2.4341e-16	1.2902e-17
4597.3000	2.4341e-16	1.3314e-17
4599.3000	2.4322e-16	1.3531e-17
4601.2000	2.4303e-16	1.3351e-17
4603.2000	2.4301e-16	1.3317e-17
4605.2000	2.4319e-16	1.3646e-17
4607.2000	2.4356e-16	1.3432e-17
4609.2000	2.4407e-16	1.2937e-17
4611.1000	2.4484e-16	1.2656e-17
4613.1000	2.4511e-16	1.1589e-17
4615.1000	2.4560e-16	1.1641e-17
4617.1000	2.4571e-16	1.1507e-17
4619.1000	2.4529e-16	1.0828e-17
4621.1000	2.4564e-16	1.0587e-17
4623.0000	2.4618e-16	1.0549e-17
4625.0000	2.4696e-16	1.0315e-17
4627.0000	2.4772e-16	1.0525e-17
4629.0000	2.4787e-16	1.0525e-17
4631.0000	2.4800e-16	1.1085e-17
4632.9000	2.4835e-16	1.0787e-17
4634.9000	2.4845e-16	1.0757e-17
4636.9000	2.4872e-16	1.0702e-17
4638.9000	2.4882e-16	1.0223e-17
4640.9000	2.4920e-16	9.4924e-18
4642.8000	2.4949e-16	9.7470e-18
4644.8000	2.4967e-16	1.0291e-17
4646.8000	2.4969e-16	1.0061e-17
4648.8000	2.5010e-16	9.5380e-18
4650.8000	2.4989e-16	9.6491e-18
4652.7000	2.4955e-16	9.5023e-18
4654.7000	2.5006e-16	8.9953e-18
4656.7000	2.5030e-16	9.1847e-18
4658.7000	2.5043e-16	8.9410e-18
4660.7000	2.5057e-16	9.1679e-18
4662.6000	2.5084e-16	9.2332e-18
4664.6000	2.5127e-16	9.1297e-18
4666.6000	2.5172e-16	9.9713e-18
4668.6000	2.5237e-16	9.9705e-18
4670.6000	2.5291e-16	1.0196e-17
4672.6000	2.5334e-16	1.0238e-17
4674.5000	2.5384e-16	1.0201e-17
4676.5000	2.5426e-16	1.0257e-17
4678.5000	2.5496e-16	1.0301e-17
4680.5000	2.5538e-16	9.9047e-18
4682.5000	2.5531e-16	9.8923e-18
4684.4000	2.5504e-16	9.8932e-18
4686.4000	2.5527e-16	1.0513e-17
4688.4000	2.5613e-16	1.0515e-17
4690.4000	2.5658e-16	1.0412e-17
4692.4000	2.5686e-16	1.0501e-17
4694.3000	2.5685e-16	9.9298e-18
4696.3000	2.5678e-16	9.6892e-18
4698.3000	2.5720e-16	9.7058e-18
4700.3000	2.5716e-16	9.6941e-18
4702.3000	2.5670e-16	1.0115e-17
4704.2000	2.5623e-16	1.0117e-17
4706.2000	2.5629e-16	1.0129e-17
4708.2000	2.5665e-16	9.9841e-18
4710.2000	2.5650e-16	1.0359e-17
4712.2000	2.5661e-16	1.0237e-17
4714.1000	2.5674e-16	1.0241e-17
4716.1000	2.5729e-16	9.5400e-18
4718.1000	2.5766e-16	1.0051e-17
4720.1000	2.5818e-16	9.9712e-18
4722.1000	2.5835e-16	1.0229e-17
4724.0000	2.5806e-16	1.0304e-17
4726.0000	2.5834e-16	9.7579e-18
4728.0000	2.5888e-16	9.7580e-18
4730.0000	2.5963e-16	9.9532e-18
4732.0000	2.6024e-16	9.8009e-18
4734.0000	2.6052e-16	9.9413e-18
4735.9000	2.6102e-16	1.0189e-17
4737.9000	2.6114e-16	1.1027e-17
4739.9000	2.6094e-16	1.1154e-17
4741.9000	2.6105e-16	1.0931e-17
4743.9000	2.6125e-16	1.1332e-17
4745.8000	2.6144e-16	1.1898e-17
4747.8000	2.6138e-16	1.2059e-17
4749.8000	2.6131e-16	1.2057e-17
4751.8000	2.6147e-16	1.1887e-17
4753.8000	2.6186e-16	1.1967e-17
4755.7000	2.6196e-16	1.1886e-17
4757.7000	2.6207e-16	1.2120e-17
4759.7000	2.6232e-16	1.1730e-17
4761.7000	2.6258e-16	1.1914e-17
4763.7000	2.6266e-16	1.1994e-17
4765.6000	2.6317e-16	1.1862e-17
4767.6000	2.6366e-16	1.1640e-17
4769.6000	2.6385e-16	1.1693e-17
4771.6000	2.6413e-16	1.1439e-17
4773.6000	2.6413e-16	1.1669e-17
4775.5000	2.6425e-16	1.2143e-17
4777.5000	2.6450e-16	1.2191e-17
4779.5000	2.6453e-16	1.2458e-17
4781.5000	2.6485e-16	1.2425e-17
4783.5000	2.6497e-16	1.2430e-17
4785.5000	2.6472e-16	1.2200e-17
4787.4000	2.6454e-16	1.1432e-17
4789.4000	2.6495e-16	1.1739e-17
4791.4000	2.6553e-16	1.1680e-17
4793.4000	2.6595e-16	1.1395e-17
4795.4000	2.6618e-16	1.0805e-17
4797.3000	2.6630e-16	1.0552e-17
4799.3000	2.6656e-16	1.1148e-17
4801.3000	2.6674e-16	1.0921e-17
4803.3000	2.6691e-16	1.0827e-17
4805.3000	2.6702e-16	1.0832e-17
4807.2000	2.6713e-16	1.0834e-17
4809.2000	2.6751e-16	1.0929e-17
4811.2000	2.6727e-16	1.1224e-17
4813.2000	2.6761e-16	1.1140e-17
4815.2000	2.6792e-16	1.1254e-17
4817.1000	2.6791e-16	1.1221e-17
4819.1000	2.6847e-16	1.1259e-17
4821.1000	2.6904e-16	1.1519e-17
4823.1000	2.6948e-16	1.1001e-17
4825.1000	2.6953e-16	1.0846e-17
4827.0000	2.6950e-16	1.1242e-17
4829.0000	2.6963e-16	1.0744e-17
4831.0000	2.6993e-16	1.0780e-17
4833.0000	2.7052e-16	1.0649e-17
4835.0000	2.7106e-16	1.0380e-17
4837.0000	2.7143e-16	1.0376e-17
4838.9000	2.7183e-16	1.0267e-17
4840.9000	2.7212e-16	1.0191e-17
4842.9000	2.7208e-16	1.0863e-17
4844.9000	2.7225e-16	1.1436e-17
4846.9000	2.7269e-16	1.1440e-17
4848.8000	2.7256e-16	1.0805e-17
4850.8000	2.7256e-16	1.0701e-17
4852.8000	2.7291e-16	1.0679e-17
4854.8000	2.7254e-16	1.0876e-17
4856.8000	2.7217e-16	1.0651e-17
4858.7000	2.7243e-16	1.0383e-17
4860.7000	2.7289e-16	1.0098e-17
4862.7000	2.7322e-16	1.0351e-17
4864.7000	2.7325e-16	1.0421e-17
4866.7000	2.7302e-16	1.0193e-17
4868.6000	2.7265e-16	1.0340e-17
4870.6000	2.7298e-16	1.0777e-17
4872.6000	2.7345e-16	1.1247e-17
4874.6000	2.7329e-16	1.0742e-17
4876.6000	2.7276e-16	1.0052e-17
4878.5000	2.7276e-16	1.0031e-17
4880.5000	2.7282e-16	1.0247e-17
4882.5000	2.7325e-16	1.0872e-17
4884.5000	2.7364e-16	1.0864e-17
4886.5000	2.7350e-16	1.1527e-17
4888.5000	2.7361e-16	1.1124e-17
4890.4000	2.7399e-16	1.1066e-17
4892.4000	2.7385e-16	1.0396e-17
4894.4000	2.7372e-16	9.7110e-18
4896.4000	2.7367e-16	9.9771e-18
4898.4000	2.7344e-16	9.8868e-18
4900.3000	2.7320e-16	9.9172e-18
4902.3000	2.7293e-16	9.9308e-18
4904.3000	2.7297e-16	9.9792e-18
4906.3000	2.7290e-16	1.0174e-17
4908.3000	2.7271e-16	1.0148e-17
4910.2000	2.7304e-16	1.0144e-17
4912.2000	2.7320e-16	9.8956e-18
4914.2000	2.7337e-16	9.7395e-18
4916.2000	2.7348e-16	9.8168e-18
4918.2000	2.7360e-16	9.3653e-18
4920.1000	2.7370e-16	8.6501e-18
4922.1000	2.7405e-16	8.0946e-18
4924.1000	2.7467e-16	7.8774e-18
4926.1000	2.7489e-16	7.8721e-18
4928.1000	2.7506e-16	8.4463e-18
4930.0000	2.7579e-16	8.3069e-18
4932.0000	2.7583e-16	7.8004e-18
4934.0000	2.7576e-16	8.5007e-18
4936.0000	2.7556e-16	8.3021e-18
4938.0000	2.7565e-16	8.2340e-18
4939.9000	2.7590e-16	8.4811e-18
4941.9000	2.7572e-16	8.3693e-18
4943.9000	2.7562e-16	8.3966e-18
4945.9000	2.7528e-16	8.1353e-18
4947.9000	2.7530e-16	8.3990e-18
4949.9000	2.7564e-16	8.2620e-18
4951.8000	2.7550e-16	9.3794e-18
4953.8000	2.7552e-16	9.1324e-18
4955.8000	2.7563e-16	8.8200e-18
4957.8000	2.7598e-16	8.7818e-18
4959.8000	2.7605e-16	8.3895e-18
4961.7000	2.7619e-16	8.6206e-18
4963.7000	2.7642e-16	8.6196e-18
4965.7000	2.7653e-16	8.7434e-18
4967.7000	2.7645e-16	8.8000e-18
4969.7000	2.7611e-16	8.6517e-18
4971.6000	2.7594e-16	8.5580e-18
4973.6000	2.7593e-16	8.5614e-18
4975.6000	2.7566e-16	8.8893e-18
4977.6000	2.7550e-16	8.9770e-18
4979.6000	2.7538e-16	9.3125e-18
4981.5000	2.7503e-16	9.1699e-18
4983.5000	2.7481e-16	8.5455e-18
4985.5000	2.7478e-16	7.9422e-18
4987.5000	2.7486e-16	8.1661e-18
4989.5000	2.7473e-16	8.0906e-18
4991.4000	2.7472e-16	8.1397e-18
4993.4000	2.7440e-16	8.4434e-18
4995.4000	2.7388e-16	8.4527e-18
4997.4000	2.7320e-16	8.6423e-18
4999.4000	2.7272e-16	8.7420e-18
5001.4000	2.7258e-16	7.8181e-18
5003.3000	2.7211e-16	8.1463e-18
5005.3000	2.7175e-16	9.5891e-18
5007.3000	2.7177e-16	9.5636e-18
5009.3000	2.7109e-16	9.5636e-18
5011.3000	2.7123e-16	9.3876e-18
5013.2000	2.7119e-16	9.3781e-18
5015.2000	2.7107e-16	9.1670e-18
5017.2000	2.7112e-16	9.1894e-18
5019.2000	2.7082e-16	9.2061e-18
5021.2000	2.7011e-16	9.2006e-18
5023.1000	2.6973e-16	9.1882e-18
5025.1000	2.6968e-16	8.8837e-18
5027.1000	2.6951e-16	1.0015e-17
5029.1000	2.6972e-16	9.8628e-18
5031.1000	2.6997e-16	9.9081e-18
5033.0000	2.6988e-16	1.0275e-17
5035.0000	2.6994e-16	1.0139e-17
5037.0000	2.6989e-16	9.9971e-18
5039.0000	2.6970e-16	9.9348e-18
5041.0000	2.6946e-16	9.8954e-18
5042.9000	2.6951e-16	9.9852e-18
5044.9000	2.6945e-16	1.0012e-17
