#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
2995.76872888	6.619079045878027e-17	6.619079045878027e-17	4.033576097139e-16
2995.96871232	-2.485688890799696e-17	-2.485688890799696e-17	4.060924961146e-16
2996.16869577	-1.247619434477976e-16	-1.247619434477976e-16	3.794043230013e-16
2996.36867922	-5.501527255444586e-17	-5.501527255444586e-17	4.045391651880001e-16
2996.56866267	2.592881754531058e-16	2.592881754531058e-16	4.19190249865e-16
2996.76864611	4.103231073277958e-16	4.103231073277958e-16	4.076391271859999e-16
2996.96962948	-5.0550024770920135e-17	-5.0550024770920135e-17	3.844091251e-16
2997.16961292	1.5533223274048703e-17	1.5533223274048703e-17	3.608397481600001e-16
2997.36959637	2.8717912645659126e-16	2.8717912645659126e-16	3.649885737288001e-16
2997.56957982	-1.5140836546715776e-16	-1.5140836546715776e-16	3.341921292712001e-16
2997.76956327	-3.830550052028879e-16	-3.830550052028879e-16	3.152703982428e-16
2997.96954671	-2.2548872770928117e-16	-2.2548872770928117e-16	3.101439362285e-16
2998.16953016	-2.7848627952697104e-16	-2.7848627952697104e-16	3.117120228396e-16
2998.36951361	-1.199473023011107e-16	-1.199473023011107e-16	3.04883114679e-16
2998.56949705	-2.393434551499036e-16	-2.393434551499036e-16	3.077087911000001e-16
2998.7694805	9.865761275603893e-17	9.865761275603893e-17	3.244221368544001e-16
2998.96946395	-6.999611443571839e-17	-6.999611443571839e-17	2.952081853734e-16
2999.1694474	-3.273183546676264e-16	-3.273183546676264e-16	2.801681460486e-16
2999.36943084	-7.512333761350847e-17	-7.512333761350847e-17	2.864732501944e-16
2999.56941429	-1.3904377539819167e-16	-1.3904377539819167e-16	2.606414029988999e-16
2999.76939774	-1.8160638686145887e-16	-1.8160638686145887e-16	2.615539120192e-16
2999.96938119	-7.453815254852885e-15	-7.453815254852885e-15	3.338104118272001e-14
3000.16936463	-1.2690546738664463e-14	-1.2690546738664463e-14	5.360098223615999e-14
3000.36934808	-1.2781908810402343e-14	-1.2781908810402343e-14	5.981235477503999e-14
