wavelength	flux
4541.8	2.5735366e-16
4543.8	2.4961378e-16
4545.8	2.3846738e-16
4547.8	2.4323114e-16
4549.7	2.5641572e-16
4551.7	2.5821967e-16
4553.7	2.3182841e-16
4555.7	2.3712011e-16
4557.7	2.3392322e-16
4559.6	2.2853773e-16
4561.6	2.2784985e-16
4563.6	2.3570481e-16
4565.6	2.5682344e-16
4567.6	2.4388194e-16
4569.6	2.2020693e-16
4571.5	2.4072903e-16
4573.5	2.5589956e-16
4575.5	2.5766016e-16
4577.5	2.3328623e-16
4579.5	2.4584101e-16
4581.4	2.5566742e-16
4583.4	2.6703128e-16
4585.4	2.5606135e-16
4587.4	2.1807043e-16
4589.4	2.3460967e-16
4591.3	2.5569018e-16
4593.3	2.6264021e-16
4595.3	2.5426603e-16
4597.3	2.37925e-16
4599.3	2.5785871e-16
4601.2	2.4980133e-16
4603.2	2.4355997e-16
4605.2	2.3840021e-16
4607.2	2.2789312e-16
4609.2	2.391633e-16
4611.1	2.3876884e-16
4613.1	2.2926663e-16
4615.1	2.2460114e-16
4617.1	2.3932709e-16
4619.1	2.4554957e-16
4621.1	2.6332455e-16
4623.0	2.6272377e-16
4625.0	2.441857e-16
4627.0	2.3737127e-16
4629.0	2.3374848e-16
4631.0	2.4954752e-16
4632.9	2.6362962e-16
4634.9	2.4864721e-16
4636.9	2.5040905e-16
4638.9	2.5994113e-16
4640.9	2.5817977e-16
4642.8	2.4976638e-16
4644.8	2.4917445e-16
4646.8	2.468184e-16
4648.8	2.3799289e-16
4650.8	2.3456604e-16
4652.7	2.4413082e-16
4654.7	2.6511905e-16
4656.7	2.558943e-16
4658.7	2.48718e-16
4660.7	2.4932478e-16
4662.6	2.4975208e-16
4664.6	2.4130857e-16
4666.6	2.6555161e-16
4668.6	2.7017873e-16
4670.6	2.4185098e-16
4672.6	2.5715699e-16
4674.5	2.6218916e-16
4676.5	2.4753295e-16
4678.5	2.5343977e-16
4680.5	2.4745547e-16
4682.5	2.6625259e-16
4684.4	2.660315e-16
4686.4	2.6199336e-16
4688.4	2.4979751e-16
4690.4	2.3517782e-16
4692.4	2.5680533e-16
4694.3	2.6703389e-16
4696.3	2.6229582e-16
4698.3	2.4583173e-16
4700.3	2.4097612e-16
4702.3	2.4960862e-16
4704.2	2.4956233e-16
4706.2	2.4934457e-16
4708.2	2.5640137e-16
4710.2	2.7318596e-16
4712.2	2.5745641e-16
4714.1	2.6367865e-16
4716.1	2.7269998e-16
4718.1	2.5137056e-16
4720.1	2.5661173e-16
4722.1	2.530149e-16
4724.0	2.6609735e-16
4726.0	2.7387546e-16
4728.0	2.571694e-16
4730.0	2.5134925e-16
4732.0	2.5312208e-16
4734.0	2.4145843e-16
4735.9	2.6254619e-16
4737.9	2.644648e-16
4739.9	2.696931e-16
4741.9	2.7666027e-16
4743.9	2.6922393e-16
4745.8	2.4894163e-16
4747.8	2.7446566e-16
4749.8	2.5698792e-16
4751.8	2.5437468e-16
4753.8	2.7593348e-16
4755.7	2.6733116e-16
4757.7	2.5579758e-16
4759.7	2.4503624e-16
4761.7	2.4228988e-16
4763.7	2.5117092e-16
4765.6	2.7442257e-16
4767.6	2.7886236e-16
4769.6	2.4561811e-16
4771.6	2.526501e-16
4773.6	2.7212233e-16
4775.5	2.7652539e-16
4777.5	2.703147e-16
4779.5	2.6738418e-16
