#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
5347.04163817	-2.0329886275836845e-15	-2.029273913056027e-15	4.206850950925e-15
5347.2416219	-1.3079132849075301e-15	-1.3055364056899148e-15	4.328074945575001e-15
5347.44160564	-5.622257421931282e-16	-5.61209345180372e-16	4.343325068555001e-15
5347.64158937	-1.0772408730198435e-15	-1.0753032962633664e-15	4.309357563865e-15
5347.84157311	-6.492446862467193e-16	-6.480826718731616e-16	3.945189003e-15
5348.04155684	6.686101588227329e-16	6.674192154228179e-16	4.120474274865001e-15
5348.24154058	-5.693986730269479e-17	-5.683891925414992e-17	4.224585140250002e-15
5348.44152431	6.170814449724649e-16	6.159924431491431e-16	4.368650471078e-15
5348.64150805	-1.9556686514076642e-15	-1.9522330106242623e-15	4.213643213295999e-15
5348.84149178	-1.1912804056122129e-15	-1.1891969759348392e-15	4.293515220498001e-15
5349.04147552	-1.3720813585736712e-15	-1.3696923920363763e-15	4.367653726252001e-15
5349.24145925	-8.006112202536451e-16	-7.992234372968901e-16	4.425922562102002e-15
5349.44144299	4.007873719117911e-18	4.000957416057859e-18	4.266886193855999e-15
5349.64142672	6.662705752839425e-18	6.6512594848629995e-18	4.029156098041998e-15
5349.84141045	-9.852756449524006e-16	-9.835904922593662e-16	3.946800107535998e-15
5350.04139419	-1.5730170570528344e-15	-1.5703384446437888e-15	3.977587078265999e-15
5350.24137792	3.1496270953740526e-16	3.1442869697614696e-16	4.037806580248e-15
5350.44136166	3.6904928601482955e-16	3.684262443877544e-16	4.213498156196e-15
5350.64234531	5.32016422062951e-16	5.311220559668122e-16	4.102813964556001e-15
5350.84232905	-1.0439489720768747e-15	-1.04220135535055e-15	4.106421520788001e-15
5351.04231278	-6.154592491754117e-16	-6.144332267985782e-16	4.275112014992001e-15
5351.24229652	-4.654021257199843e-17	-4.646294790187923e-17	3.950405960868e-15
5351.44228025	-9.418153098162197e-16	-9.402582354643864e-16	3.867388892700001e-15
5351.64226399	-2.3394207626318107e-15	-2.335569168231048e-15	3.949079822716001e-15
5351.84224772	1.970056141796857e-16	1.966826234856526e-16	3.881121785832001e-15
5352.04223146	-2.067944324150847e-15	-2.0645681682651535e-15	3.842655735006e-15
5352.24221519	-1.0480667351980235e-15	-1.046362895499476e-15	3.846697565431999e-15
5352.44219893	-1.1236298713750204e-15	-1.1218109946704317e-15	3.669519245184e-15
5352.64218266	3.3411718120108935e-16	3.335786666404166e-16	3.764177710015998e-15
5352.8421664	-4.352484736853319e-16	-4.3455002438529757e-16	3.85723007556e-15
