#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
20964.7076943	8.559409662168042e-18	8.26336157211034e-18	1.0745084222262e-18
20965.3076653	8.506905958986329e-18	8.271982504727228e-18	1.0774225951341e-18
20965.9076364	7.907692957364224e-18	7.732446840477527e-18	1.0753597977808e-18
20966.5076075	7.413131823589371e-18	7.269157960221737e-18	1.073769191873e-18
20967.1075786	7.125200291975555e-18	6.992645641140142e-18	1.075654976873e-18
20967.7075497	7.188084163108561e-18	7.053188726791221e-18	1.0740034692576e-18
20968.3075208	7.703656448525677e-18	7.547999384766604e-18	1.077518304015e-18
20968.9074919	8.08302683076285e-18	7.890887323166084e-18	1.0843874559805e-18
20969.507463	7.629375268597275e-18	7.408253712445118e-18	1.078944833824e-18
20970.1074341	7.71760007527324e-18	7.460148783602045e-18	1.072334764212e-18
20970.7074052	8.248004544868479e-18	7.965304886298383e-18	1.0758771307125e-18
20971.3073763	8.875428304174573e-18	8.595961477082199e-18	1.0742981745333e-18
20971.9073474	1.0257410068982206e-17	9.978677699206814e-18	1.0708647755104e-18
20972.5073185	9.147778422729756e-18	8.932068779985692e-18	1.072143716461e-18
20973.1072896	8.646005355342032e-18	8.46091777677126e-18	1.080941565155e-18
20973.7072607	8.327882613101244e-18	8.158192819036195e-18	1.0752932568276e-18
20974.3072318	9.62543660122958e-18	9.429458022117874e-18	1.0794086468844e-18
20974.9172024	9.866719173160424e-18	9.655227656919343e-18	1.078588388641e-18
20975.5171735	8.093352624938716e-18	7.906220648798228e-18	1.1770124432128e-18
20976.1171446	7.644297738551289e-18	7.459763383817747e-18	1.17133827297e-18
20976.7171157	7.362024597561466e-18	7.18947217922992e-18	1.1745189729e-18
20977.3170868	6.7355496128542175e-18	6.5913206006437885e-18	1.118496957237e-18
20977.917058	8.054033123952799e-18	7.897246812512208e-18	1.1166866687252e-18
20978.5170291	9.613737891995184e-18	9.4363351960841e-18	1.0737311873651e-18
20979.1170002	1.0414927778034568e-17	1.0224399126854187e-17	1.0764069496194e-18
20979.7169713	1.0031414899270886e-17	9.840341117683037e-18	1.0775419026768e-18
20980.3169424	8.737892691530336e-18	8.548542548304755e-18	1.0794398502918e-18
20980.9169135	7.905796520193275e-18	7.690068765890715e-18	1.0776378798658e-18
20981.5168847	7.59422641954968e-18	7.325531966798551e-18	1.083132551848e-18
20982.1168558	6.79362045963734e-18	6.501827284061329e-18	1.0831703033502e-18
20982.7168269	6.692255147941065e-18	6.3797289650852125e-18	1.0888630342263e-18
20983.316798	8.515922491670422e-18	8.119661696783403e-18	1.0849275122052e-18
20983.9167692	9.380948588109885e-18	8.953174228417166e-18	1.0933051150669e-18
20984.5167403	9.079911973191486e-18	8.660934228614459e-18	1.0867022453945e-18
20985.1167114	9.73549881773214e-18	9.281769848588328e-18	1.0910434722e-18
20985.7166825	8.727241645361288e-18	8.343020404003451e-18	1.0883279858076e-18
20986.3166537	9.254821355215941e-18	8.900039095346046e-18	1.0920123926109e-18
20986.9166248	8.889377467337807e-18	8.596711619625316e-18	1.084732855528e-18
20987.5165959	8.670022292249635e-18	8.401252989922325e-18	1.0807259194828e-18
20988.1165671	7.526181578695314e-18	7.283703603231096e-18	1.0769006328567e-18
20988.7165382	6.681225264457566e-18	6.4588596494924835e-18	1.0785884563988e-18
20989.3165094	6.001773624452881e-18	5.812694065857902e-18	1.3389506264862e-18
20989.9164805	7.696257334703659e-18	7.488459794507545e-18	1.3302429787943e-18
20990.5164516	8.62243070600233e-18	8.436601053606901e-18	1.269764257667199e-18
20991.1164228	7.63140169602298e-18	7.504683147287585e-18	1.0717861852776e-18
