#wls	flux	flux_err
nan	1.8512e-17	5.9043e-18
nan	1.8471e-17	5.9236e-18
nan	1.8306e-17	5.9228e-18
nan	1.8259e-17	5.9482e-18
nan	1.8339e-17	5.9225e-18
nan	1.8344e-17	5.9272e-18
nan	1.8353e-17	5.9138e-18
nan	1.8383e-17	5.9120e-18
nan	1.8400e-17	5.9816e-18
nan	1.8416e-17	5.9746e-18
nan	1.8421e-17	6.2286e-18
nan	1.8488e-17	6.4940e-18
nan	1.8505e-17	6.5231e-18
nan	1.8528e-17	6.5542e-18
nan	1.8528e-17	6.6199e-18
nan	1.8559e-17	6.6969e-18
nan	1.8658e-17	6.7461e-18
nan	1.8579e-17	6.8875e-18
nan	1.8611e-17	6.8959e-18
nan	1.8618e-17	6.9220e-18
nan	1.8626e-17	6.9282e-18
nan	1.8627e-17	6.9314e-18
nan	1.8596e-17	6.9664e-18
nan	1.8542e-17	6.9793e-18
nan	1.8472e-17	7.0317e-18
nan	1.8449e-17	7.0309e-18
nan	1.8439e-17	7.0531e-18
nan	1.8416e-17	7.1701e-18
nan	1.8292e-17	7.1377e-18
nan	1.8182e-17	7.1357e-18
nan	1.8093e-17	7.2360e-18
nan	1.8134e-17	7.2861e-18
nan	1.8189e-17	7.6284e-18
nan	1.8250e-17	7.6298e-18
nan	1.8199e-17	7.6301e-18
nan	1.8064e-17	7.6692e-18
nan	1.8087e-17	7.7346e-18
nan	1.8168e-17	7.7684e-18
nan	1.8116e-17	7.7832e-18
nan	1.7948e-17	7.8021e-18
nan	1.7915e-17	7.8189e-18
nan	1.7947e-17	7.7990e-18
nan	1.7958e-17	7.7707e-18
nan	1.7939e-17	7.7298e-18
nan	1.7885e-17	7.8538e-18
nan	1.7974e-17	7.9909e-18
nan	1.7957e-17	7.9979e-18
nan	1.8055e-17	7.9989e-18
nan	1.8114e-17	7.9905e-18
nan	1.8117e-17	8.0105e-18
nan	1.8141e-17	8.0158e-18
nan	1.8076e-17	7.8797e-18
nan	1.7942e-17	7.7359e-18
nan	1.7831e-17	7.6222e-18
nan	1.7891e-17	7.6114e-18
nan	1.7874e-17	7.6250e-18
nan	1.7883e-17	7.6797e-18
nan	1.7858e-17	7.5989e-18
nan	1.7948e-17	7.5500e-18
nan	1.7916e-17	7.5200e-18
nan	1.7830e-17	7.5029e-18
nan	1.7865e-17	7.5882e-18
nan	1.7849e-17	7.5638e-18
nan	1.7809e-17	7.5581e-18
nan	1.7810e-17	7.6046e-18
nan	1.7786e-17	7.5753e-18
nan	1.7825e-17	7.5731e-18
nan	1.7681e-17	7.5566e-18
nan	1.7620e-17	7.5184e-18
nan	1.7673e-17	7.4919e-18
nan	1.7681e-17	7.4777e-18
nan	1.7711e-17	7.7182e-18
nan	1.7676e-17	7.7842e-18
nan	1.7710e-17	7.7740e-18
nan	1.7702e-17	7.6561e-18
nan	1.7713e-17	7.6644e-18
nan	1.7789e-17	7.7630e-18
nan	1.7867e-17	7.8154e-18
nan	1.7976e-17	7.6931e-18
nan	1.8025e-17	7.7062e-18
nan	1.8002e-17	7.7708e-18
nan	1.7955e-17	7.7705e-18
nan	1.7982e-17	7.7728e-18
nan	1.8029e-17	7.8290e-18
nan	1.8074e-17	7.8358e-18
nan	1.7924e-17	7.8305e-18
nan	1.7974e-17	7.8295e-18
nan	1.8021e-17	7.7625e-18
nan	1.8129e-17	7.9127e-18
nan	1.8124e-17	7.7570e-18
nan	1.8179e-17	7.5650e-18
nan	1.8156e-17	7.6302e-18
nan	1.8211e-17	7.6073e-18
nan	1.8239e-17	7.5492e-18
nan	1.8260e-17	7.4803e-18
nan	1.8271e-17	7.4424e-18
nan	1.8307e-17	7.3133e-18
nan	1.8303e-17	7.3612e-18
nan	1.8359e-17	7.3802e-18
