#wls	flux	flux_err
4234.1000	1.0369e-15	4.4607e-17
4236.0000	1.0357e-15	4.3919e-17
4238.0000	1.0352e-15	4.3700e-17
4240.0000	1.0368e-15	4.2302e-17
4242.0000	1.0378e-15	4.4875e-17
4243.9000	1.0380e-15	4.5444e-17
4245.9000	1.0377e-15	4.4848e-17
4247.9000	1.0365e-15	4.4965e-17
4249.8000	1.0355e-15	4.8600e-17
4251.8000	1.0357e-15	4.7755e-17
4253.8000	1.0342e-15	4.7764e-17
4255.8000	1.0318e-15	4.7826e-17
4257.7000	1.0314e-15	4.4662e-17
4259.7000	1.0290e-15	4.3708e-17
4261.7000	1.0254e-15	4.0616e-17
4263.6000	1.0230e-15	4.0654e-17
4265.6000	1.0238e-15	3.9518e-17
4267.6000	1.0242e-15	4.0689e-17
4269.6000	1.0238e-15	4.0085e-17
4271.5000	1.0219e-15	4.0995e-17
4273.5000	1.0204e-15	4.0769e-17
4275.5000	1.0182e-15	4.0441e-17
4277.4000	1.0157e-15	3.7791e-17
4279.4000	1.0136e-15	3.6484e-17
4281.4000	1.0124e-15	3.6178e-17
4283.3000	1.0110e-15	3.6805e-17
4285.3000	1.0070e-15	3.6163e-17
4287.3000	1.0022e-15	3.4210e-17
4289.3000	1.0001e-15	3.7133e-17
4291.2000	9.9925e-16	3.5620e-17
4293.2000	9.9635e-16	3.4578e-17
4295.2000	9.9464e-16	3.4718e-17
4297.1000	9.9297e-16	3.3934e-17
4299.1000	9.9053e-16	2.6746e-17
4301.1000	9.8607e-16	2.6747e-17
4303.1000	9.8294e-16	2.6790e-17
4305.0000	9.8065e-16	2.8541e-17
4307.0000	9.7914e-16	3.0763e-17
4309.0000	9.7827e-16	3.1073e-17
4310.9000	9.7758e-16	3.1460e-17
4312.9000	9.7525e-16	3.1688e-17
4314.9000	9.7255e-16	3.1469e-17
4316.9000	9.6913e-16	2.9834e-17
4318.8000	9.6709e-16	2.9719e-17
4320.8000	9.6597e-16	2.9288e-17
4322.8000	9.6366e-16	2.9696e-17
4324.7000	9.6059e-16	3.0009e-17
4326.7000	9.5744e-16	3.0002e-17
4328.7000	9.5357e-16	2.9871e-17
4330.6000	9.5122e-16	2.9347e-17
4332.6000	9.4805e-16	2.8339e-17
4334.6000	9.4396e-16	2.8468e-17
4336.6000	9.4246e-16	2.8211e-17
4338.5000	9.4227e-16	2.5885e-17
4340.5000	9.3998e-16	2.6132e-17
4342.5000	9.3932e-16	2.6005e-17
4344.4000	9.3830e-16	2.6837e-17
4346.4000	9.3579e-16	2.7658e-17
4348.4000	9.3491e-16	2.7684e-17
4350.4000	9.3376e-16	2.7357e-17
4352.3000	9.3139e-16	2.9596e-17
4354.3000	9.2840e-16	3.2064e-17
4356.3000	9.2752e-16	3.1604e-17
4358.2000	9.2712e-16	3.1812e-17
4360.2000	9.2577e-16	3.1319e-17
4362.2000	9.2427e-16	3.4404e-17
4364.1000	9.2265e-16	3.5335e-17
4366.1000	9.2158e-16	3.5346e-17
4368.1000	9.2237e-16	3.5626e-17
4370.1000	9.2199e-16	3.5199e-17
4372.0000	9.2136e-16	3.5234e-17
4374.0000	9.2134e-16	3.4588e-17
4376.0000	9.2285e-16	3.5608e-17
4377.9000	9.2212e-16	3.6940e-17
4379.9000	9.2213e-16	3.7655e-17
4381.9000	9.2215e-16	3.9142e-17
4383.9000	9.2119e-16	3.8547e-17
4385.8000	9.2035e-16	3.8637e-17
4387.8000	9.1991e-16	3.7699e-17
4389.8000	9.1999e-16	3.5338e-17
4391.7000	9.1950e-16	3.5593e-17
4393.7000	9.1718e-16	3.4688e-17
4395.7000	9.1591e-16	3.4233e-17
4397.7000	9.1654e-16	3.5675e-17
4399.6000	9.1649e-16	3.7613e-17
4401.6000	9.1593e-16	3.6740e-17
4403.6000	9.1495e-16	3.4886e-17
4405.5000	9.1388e-16	3.4244e-17
4407.5000	9.1378e-16	3.3813e-17
4409.5000	9.1516e-16	3.4220e-17
4411.4000	9.1404e-16	3.0893e-17
4413.4000	9.1270e-16	2.9589e-17
4415.4000	9.1126e-16	2.9724e-17
4417.4000	9.0964e-16	3.0261e-17
4419.3000	9.0845e-16	3.0100e-17
4421.3000	9.0688e-16	2.9473e-17
4423.3000	9.0541e-16	3.0416e-17
4425.2000	9.0434e-16	2.9751e-17
4427.2000	9.0280e-16	2.8326e-17
4429.2000	9.0153e-16	2.8511e-17
4431.2000	9.0056e-16	2.6633e-17
4433.1000	8.9940e-16	2.7713e-17
4435.1000	8.9845e-16	2.8038e-17
4437.1000	8.9831e-16	2.8533e-17
4439.0000	8.9671e-16	2.8018e-17
4441.0000	8.9641e-16	2.7921e-17
4443.0000	8.9513e-16	2.7865e-17
4445.0000	8.9439e-16	2.8632e-17
4446.9000	8.9473e-16	2.6018e-17
4448.9000	8.9471e-16	2.1387e-17
4450.9000	8.9481e-16	2.0986e-17
4452.8000	8.9444e-16	2.1338e-17
4454.8000	8.9399e-16	2.1461e-17
4456.8000	8.9328e-16	2.2423e-17
4458.7000	8.9300e-16	2.3375e-17
4460.7000	8.9177e-16	2.3779e-17
4462.7000	8.9088e-16	2.3829e-17
4464.7000	8.9182e-16	2.3740e-17
4466.6000	8.9297e-16	2.4419e-17
4468.6000	8.9206e-16	2.5184e-17
4470.6000	8.9144e-16	2.6062e-17
4472.5000	8.9120e-16	2.4880e-17
4474.5000	8.9133e-16	2.5569e-17
4476.5000	8.9151e-16	2.6644e-17
4478.5000	8.9062e-16	2.6599e-17
4480.4000	8.8905e-16	2.5859e-17
4482.4000	8.8827e-16	2.5495e-17
4484.4000	8.8676e-16	2.5139e-17
4486.3000	8.8480e-16	2.5425e-17
4488.3000	8.8502e-16	2.5574e-17
4490.3000	8.8473e-16	2.6928e-17
4492.3000	8.8318e-16	2.6842e-17
4494.2000	8.8234e-16	2.6349e-17
4496.2000	8.8178e-16	2.6388e-17
4498.2000	8.8105e-16	2.6319e-17
4500.1000	8.7964e-16	2.6372e-17
4502.1000	8.7888e-16	2.6320e-17
4504.1000	8.7924e-16	2.5878e-17
4506.0000	8.7977e-16	2.5612e-17
4508.0000	8.8051e-16	2.5023e-17
4510.0000	8.7963e-16	2.6633e-17
4512.0000	8.7895e-16	2.7045e-17
4513.9000	8.7814e-16	2.6860e-17
4515.9000	8.7726e-16	2.6614e-17
4517.9000	8.7635e-16	2.6098e-17
4519.8000	8.7512e-16	2.5604e-17
4521.8000	8.7407e-16	2.5602e-17
4523.8000	8.7251e-16	2.5110e-17
4525.8000	8.6959e-16	2.3574e-17
4527.7000	8.6776e-16	2.1911e-17
4529.7000	8.6646e-16	2.1990e-17
4531.7000	8.6497e-16	2.0821e-17
4533.6000	8.6329e-16	2.1161e-17
4535.6000	8.6241e-16	1.9422e-17
4537.6000	8.6105e-16	1.9525e-17
4539.6000	8.6048e-16	1.8661e-17
4541.5000	8.5925e-16	2.0105e-17
4543.5000	8.5845e-16	2.0287e-17
4545.5000	8.5754e-16	2.2279e-17
4547.4000	8.5562e-16	2.2347e-17
4549.4000	8.5473e-16	2.3012e-17
4551.4000	8.5327e-16	2.3025e-17
4553.3000	8.5141e-16	2.3085e-17
4555.3000	8.5054e-16	2.3036e-17
4557.3000	8.4978e-16	2.3025e-17
4559.3000	8.4968e-16	2.2642e-17
4561.2000	8.4972e-16	2.2010e-17
4563.2000	8.4931e-16	2.3803e-17
4565.2000	8.4797e-16	2.2659e-17
4567.1000	8.4619e-16	2.2985e-17
4569.1000	8.4483e-16	2.4969e-17
4571.1000	8.4317e-16	2.4863e-17
4573.1000	8.4252e-16	2.4593e-17
4575.0000	8.4179e-16	2.5411e-17
4577.0000	8.4072e-16	2.5366e-17
4579.0000	8.3950e-16	2.5979e-17
4580.9000	8.3835e-16	2.6126e-17
4582.9000	8.3674e-16	2.6318e-17
4584.9000	8.3451e-16	2.6095e-17
4586.9000	8.3345e-16	2.6102e-17
4588.8000	8.3343e-16	2.5559e-17
4590.8000	8.3207e-16	2.5009e-17
4592.8000	8.3004e-16	2.4979e-17
4594.7000	8.2866e-16	2.2773e-17
4596.7000	8.2809e-16	2.3233e-17
4598.7000	8.2709e-16	2.3077e-17
4600.6000	8.2535e-16	2.3274e-17
4602.6000	8.2319e-16	2.4173e-17
4604.6000	8.2096e-16	2.4107e-17
4606.6000	8.1951e-16	2.4104e-17
4608.5000	8.1907e-16	2.2273e-17
4610.5000	8.1854e-16	2.2361e-17
4612.5000	8.1626e-16	2.1186e-17
4614.4000	8.1500e-16	2.1599e-17
4616.4000	8.1414e-16	2.2234e-17
4618.4000	8.1267e-16	2.0352e-17
4620.4000	8.1130e-16	2.0362e-17
4622.3000	8.0973e-16	2.0372e-17
4624.3000	8.0781e-16	1.9610e-17
4626.3000	8.0576e-16	1.9838e-17
4628.2000	8.0395e-16	1.9342e-17
4630.2000	8.0174e-16	1.9039e-17
4632.2000	7.9944e-16	1.7594e-17
