#nm,g,r,i,z,dich,g+dich,r+dich,i+dich,z+dich
816,0.0157245,,78.3365,1.29334,98.755,1.55E-02,0.00E+00,7.74E+01,1.28E+00
817,0.0157274,,67.3538,1.71724,98.6865,1.55E-02,0.00E+00,6.65E+01,1.69E+00
818,0.0157324,,55.4095,2.30971,98.618,1.55E-02,0.00E+00,5.46E+01,2.28E+00
819,0.0157372,,43.8468,3.14744,98.542,1.55E-02,0.00E+00,4.32E+01,3.10E+00
820,0.0157404,,33.6904,4.34535,98.466,1.55E-02,0.00E+00,3.32E+01,4.28E+00
821,0.0157454,,25.415,6.0728,98.3815,1.55E-02,0.00E+00,2.50E+01,5.97E+00
822,0.0157507,,19.0022,8.5851,98.297,1.55E-02,0.00E+00,1.87E+01,8.44E+00
823,0.0147724,,14.2031,12.2502,98.2105,1.45E-02,0.00E+00,1.39E+01,1.20E+01
824,0.0147776,,10.6852,17.5193,98.124,1.45E-02,0.00E+00,1.05E+01,1.72E+01
825,0.013798,,8.12702,24.8857,98.032,1.35E-02,0.00E+00,7.97E+00,2.44E+01
826,0.0138022,,6.26325,34.68,97.94,1.35E-02,0.00E+00,6.13E+00,3.40E+01
827,0.0128214,,4.89186,46.7616,97.8395,1.25E-02,0.00E+00,4.79E+00,4.58E+01
828,0.0118404,,3.87378,60.2173,97.739,1.16E-02,0.00E+00,3.79E+00,5.89E+01
829,0.0118472,,3.11284,73.3666,97.6545,1.16E-02,0.00E+00,3.04E+00,7.16E+01
830,0.010866,,2.53573,84.3687,97.57,1.06E-02,0.00E+00,2.47E+00,8.23E+01
831,0.00988465,,2.09357,92.1071,97.4895,9.64E-03,0.00E+00,2.04E+00,8.98E+01
832,0.00988953,,1.75045,96.5456,97.409,9.63E-03,0.00E+00,1.71E+00,9.40E+01
833,0.00890622,,1.48239,98.4711,97.329,8.67E-03,0.00E+00,1.44E+00,9.58E+01
834,0.00891116,,1.27033,98.8901,97.249,8.67E-03,0.00E+00,1.24E+00,9.62E+01
835,0.00891822,,1.1009,98.6593,97.1945,8.67E-03,0.00E+00,1.07E+00,9.59E+01
836,0.00892308,,0.964684,98.262,97.14,8.67E-03,0.00E+00,9.37E-01,9.55E+01
837,0.00793556,,0.854065,97.9516,97.0895,7.70E-03,0.00E+00,8.29E-01,9.51E+01
838,0.00793997,,0.764223,97.8304,97.039,7.70E-03,0.00E+00,7.42E-01,9.49E+01
839,0.00794628,,0.690333,97.9439,97.007,7.71E-03,0.00E+00,6.70E-01,9.50E+01
840,0.00795308,,0.628293,98.2026,96.975,7.71E-03,0.00E+00,6.09E-01,9.52E+01
841,0.00795798,,0.576954,98.4979,96.9625,7.72E-03,0.00E+00,5.59E-01,9.55E+01
842,0.00796313,,0.532534,98.7737,96.95,7.72E-03,0.00E+00,5.16E-01,9.58E+01
843,0.00796892,,0.496065,98.9949,96.9465,7.73E-03,0.00E+00,4.81E-01,9.60E+01
844,0.00797321,,0.463443,99.1269,96.943,7.73E-03,0.00E+00,4.49E-01,9.61E+01
845,0.00897621,,0.435845,99.229,96.967,8.70E-03,0.00E+00,4.23E-01,9.62E+01
846,0.00898132,,0.411145,99.2506,96.991,8.71E-03,0.00E+00,3.99E-01,9.63E+01
847,0.00898715,,0.388445,99.2131,97.006,8.72E-03,0.00E+00,3.77E-01,9.62E+01
848,0.00899254,,0.369693,99.1227,97.021,8.72E-03,0.00E+00,3.59E-01,9.62E+01
849,0.00899901,,0.350961,99.0201,97.042,8.73E-03,0.00E+00,3.41E-01,9.61E+01
850,0.00900576,,0.334214,98.9283,97.063,8.74E-03,0.00E+00,3.24E-01,9.60E+01
851,0.00900982,,0.316345,98.8417,97.0795,8.75E-03,0.00E+00,3.07E-01,9.60E+01
852,0.0090137,,0.301458,98.7942,97.096,8.75E-03,0.00E+00,2.93E-01,9.59E+01
853,0.00901785,,0.287569,98.7706,97.1065,8.76E-03,0.00E+00,2.79E-01,9.59E+01
854,0.00902138,,0.272646,98.7731,97.117,8.76E-03,0.00E+00,2.65E-01,9.59E+01
855,0.0090279,,0.260806,98.7943,97.135,8.77E-03,0.00E+00,2.53E-01,9.60E+01
856,0.00803019,,0.248936,98.8708,97.153,7.80E-03,0.00E+00,2.42E-01,9.61E+01
857,0.00803366,,0.239001,98.9446,97.152,7.80E-03,0.00E+00,2.32E-01,9.61E+01
858,0.00803503,,0.231007,98.9534,97.151,7.81E-03,0.00E+00,2.24E-01,9.61E+01
859,0.00803713,,0.224035,98.9511,97.141,7.81E-03,0.00E+00,2.18E-01,9.61E+01
860,0.0080402,,0.219095,98.9759,97.131,7.81E-03,0.00E+00,2.13E-01,9.61E+01
861,0.00804157,,0.216117,98.9415,97.108,7.81E-03,0.00E+00,2.10E-01,9.61E+01
862,0.00804384,,0.215173,98.9161,97.085,7.81E-03,0.00E+00,2.09E-01,9.60E+01
863,0.00804675,,0.217262,98.9026,97.046,7.81E-03,0.00E+00,2.11E-01,9.60E+01
864,0.00805129,,0.219398,98.8577,97.007,7.81E-03,0.00E+00,2.13E-01,9.59E+01
865,0.00805518,,0.222524,98.7786,96.956,7.81E-03,0.00E+00,2.16E-01,9.58E+01
866,0.0080555,,0.227568,98.688,96.905,7.81E-03,0.00E+00,2.21E-01,9.56E+01
867,0.00906454,,0.234671,98.6111,96.839,8.78E-03,0.00E+00,2.27E-01,9.55E+01
868,0.00805761,,0.243743,98.5496,96.773,7.80E-03,0.00E+00,2.36E-01,9.54E+01
869,0.0292162,,0.257909,98.5634,96.6975,2.83E-02,0.00E+00,2.49E-01,9.53E+01
870,0.126975,,0.293252,98.6627,96.622,1.23E-01,0.00E+00,2.83E-01,9.53E+01
871,0.244896,,0.326527,98.7967,96.5365,2.36E-01,0.00E+00,3.15E-01,9.54E+01
872,0.235785,,0.317403,98.7939,96.451,2.27E-01,0.00E+00,3.06E-01,9.53E+01
873,0.231747,,0.301272,98.811,96.344,2.23E-01,0.00E+00,2.90E-01,9.52E+01
874,0.214601,,0.299232,98.8343,96.237,2.07E-01,0.00E+00,2.88E-01,9.51E+01
875,0.209568,,0.287148,98.8927,96.1205,2.01E-01,0.00E+00,2.76E-01,9.51E+01
876,0.210615,,0.288211,98.9741,96.004,2.02E-01,0.00E+00,2.77E-01,9.50E+01
877,0.205566,,0.276104,99.0135,95.872,1.97E-01,0.00E+00,2.65E-01,9.49E+01
878,0.207584,,0.274091,99.0729,95.74,1.99E-01,0.00E+00,2.62E-01,9.49E+01
879,0.208598,,0.259992,99.1344,95.5945,1.99E-01,0.00E+00,2.49E-01,9.48E+01
880,0.212657,,0.268088,99.1917,95.449,2.03E-01,0.00E+00,2.56E-01,9.47E+01
881,0.211676,,0.261068,99.237,95.2905,2.02E-01,0.00E+00,2.49E-01,9.46E+01
882,0.195547,,0.250985,99.2491,95.132,1.86E-01,0.00E+00,2.39E-01,9.44E+01
883,0.205631,,0.251998,99.2541,94.949,1.95E-01,0.00E+00,2.39E-01,9.42E+01
