"MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err"
"57983.979	DECam_g	3.1996095567539806e-16	8.840847565480115e-18	GeneralFilters	DECam	1.450481480002054	0.1615121880271623	-15.494903014709106	0.0119999995153503"
"57983.98	DECam_u	1.4232244410263918e-16	6.55419049907762e-18	GeneralFilters	DECam	1.4514814800058955	0.1618114988776086	-15.84672660672307	0.0199999991922521"
"57983.98	Sinistro_g	3.427795539006328e-16	4.419962731060512e-17	GeneralFilters	Sinistro	1.4514814800058955	0.1618114988776086	-15.46498509075395	0.055999997738315"
"57983.981	FourStar_Ks	2.5507278470843348e-17	9.397228287664752e-19	GeneralFilters	FourStar	1.4524814800024617	0.1621106035862836	-16.593335876480268	0.0159999993538432"
"57983.981	FourStar_J	9.385568888660496e-17	8.644428055805388e-19	GeneralFilters	FourStar	1.4524814800024617	0.1621106035862836	-16.027539398299083	0.0039999998384559"
"57983.984	T80Cam_g	3.614943331126026e-16	9.988457148128589e-18	GeneralFilters	T80Cam	1.455481479999435	0.1630066837114686	-15.441898506439204	0.0119999995153675"
"57983.985	T80Cam_g	3.71622066120088e-16	1.026829674141344e-17	GeneralFilters	T80Cam	1.4564814800032764	0.1633049666955651	-15.42989850643924	0.0119999995153676"
"57983.986	T80Cam_g	3.516426089469948e-16	1.2954991947543717e-17	GeneralFilters	T80Cam	1.457481479999842	0.1636030449507946	-15.453898506438458	0.0159999993537966"
"57983.989	VISTA_Ks	2.203029261340361e-17	4.058129705381506e-19	GeneralFilters	VIRCAM	1.4604814800040913	0.1644960541661079	-16.656979734372495	0.007999999676911"
"57983.989	VISTA_J	8.96992637671524e-17	8.261607170449129e-19	GeneralFilters	VIRCAM	1.4604814800040913	0.1644960541661079	-16.047211121539803	0.0039999998384516"
"57983.99	FourStar_H	5.084943505095697e-17	4.683405856276907e-19	GeneralFilters	FourStar	1.461481480000657	0.1647933163171426	-16.293713867827076	0.0039999998384567"
"57983.994	T80Cam_g	3.3892335244539833e-16	9.364797929899104e-18	GeneralFilters	T80Cam	1.465481480001472	0.1659803344196349	-15.469898506439188	0.0119999995153753"
"57983.995	T80Cam_g	3.5489631794689683e-16	1.307486301217058e-17	GeneralFilters	T80Cam	1.4664814800053136	0.1662765827053982	-15.449898506438938	0.0159999993538289"
"57983.996	T80Cam_g	3.4522440801231996e-16	1.2718536696350928e-17	GeneralFilters	T80Cam	1.4674814800018794	0.1665726290448707	-15.46189850643792	0.0159999993537887"
"57983.999	VISTA_Y	1.641348872184247e-16	1.5117381171397794e-18	GeneralFilters	VIRCAM	1.4704814800061283	0.1674595591512876	-15.78479909892184	0.0039999998384433"
"57984.0	FLAMINGOS-2_H	4.559561290991963e-17	4.199510974089492e-18	GeneralFilters	FLAMINGOS-2	1.4714814800026943	0.1677548004599248	-16.341076941999415	0.039999998384547"
"57984.002	FourStar_J1	1.399781998636735e-16	1.2892468133348402e-18	GeneralFilters	FourStar	1.4734814800031018	0.168344681629443	-15.853939595865468	0.0039999998384604"
"57984.004	T80Cam_g	3.2666416387092588e-16	1.2034752060274909e-17	GeneralFilters	T80Cam	1.4754814800035092	0.1689337626785681	-15.485898506439035	0.0159999993538206"
"57984.005	T80Cam_g	3.327373041052275e-16	9.193871104477552e-18	GeneralFilters	T80Cam	1.476481480000075	0.1692280038346455	-15.477898506438509	0.0119999995153582"
"57984.007	T80Cam_g	3.4841873013018013e-16	1.2836219867461537e-17	GeneralFilters	T80Cam	1.4784814800004824	0.1698158887647602	-15.45789850643838	0.0159999993538021"
"57984.014	T80Cam_g	3.296867501643587e-16	1.2146108250052038e-17	GeneralFilters	T80Cam	1.4854814800055465	0.1718672416788723	-15.4818985064393	0.0159999993538333"
"57984.016	T80Cam_g	3.327373041052275e-16	1.2258494805960533e-17	GeneralFilters	T80Cam	1.487481480005954	0.1724515672198882	-15.477898506438509	0.0159999993537986"
"57984.017	T80Cam_g	3.648391989940077e-16	1.0080879204204689e-17	GeneralFilters	T80Cam	1.4884814800025197	0.1727434354337025	-15.437898506439506	0.0119999995153789"
"57984.034	Swope_B	2.5321480669052355e-16	9.328777850636716e-18	GeneralFilters	E2V4kx4kccd	1.505481480002345	0.1776754173165573	-15.596510902620023	0.0159999993538467"
"57984.036	UVOT_U	8.601177372837771e-17	3.960988400213146e-17	GeneralFilters	UVOT	1.5074814800027525	0.1782519853680657	-16.06544209625312	0.1999999919229434"
"57984.044	Swope_i	2.0200015325798876e-16	3.720980183114071e-18	GeneralFilters	E2V4kx4kccd	1.5154814800043823	0.1805506334248241	-15.694648301053013	0.0079999996769006"
"57984.047	Swope_r	2.8668610456568286e-16	5.2809529926499546e-18	GeneralFilters	E2V4kx4kccd	1.5184814800013555	0.1814094994599049	-15.54259335643159	0.007999999676904"
"57984.055	Swope_g	3.732845850198256e-16	4.1256935337378634e-17	GeneralFilters	E2V4kx4kccd	1.5264814800029851	0.1836915396000919	-15.427959944118848	0.0479999980612946"
"57984.056	EFOSC2_U	1.5086143495394895e-16	3.890558304680611e-17	GeneralFilters	EFOSC2	1.527481479999551	0.1839759533284974	-15.821421765706528	0.1119999954767387"
"57984.229	HSC_z	1.3538052417045127e-16	1.246900656995746e-18	GeneralFilters	HSC	1.700481480002054	0.2305719063794662	-15.868443808720857	0.0039999998384774"
"57984.231	GFC_i	1.9301352640396803e-16	1.0666321216676509e-17	GeneralFilters	GFC	1.7024814800024617	0.2310823962520866	-15.71441225453234	0.0239999990307153"
"57984.231	GFC_y	1.3419748897688286e-16	1.3596049506808485e-17	GeneralFilters	GFC	1.7024814800024617	0.2310823962520866	-15.872255610349487	0.0439999982228244"
"57984.231	GFC_z	1.4383026938696467e-16	9.273079783430359e-18	GeneralFilters	GFC	1.7024814800024617	0.2310823962520866	-15.8421497061343	0.0279999988692046"
"57984.361	Sinistro_i	1.661099538755506e-16	1.9889078983512354e-17	GeneralFilters	Sinistro	1.832481479999842	0.2630395941319828	-15.779604342360765	0.0519999978998773"
"57984.365	Sinistro_r	2.1001298685841762e-16	2.1277201147174433e-17	GeneralFilters	Sinistro	1.836481480000657	0.2639865530602535	-15.677753848377716	0.0439999982229338"
"57984.369	Sinistro_g	1.849332105101984e-16	2.895606168364362e-17	GeneralFilters	Sinistro	1.840481480001472	0.2649314516801955	-15.732985090754395	0.0679999972539443"
